name,state,signed,authored_chunks,mention_chunks,total_mentions,collision_word,survival,status,priority,have_authored_corpus,internet_archive_ids,pd_source
George Read,Delaware,True,0,2773,3638,True,moderate,mentions-only,2,False,lifecorresponden00read,"Life and Correspondence of George Read (W. T. Read, PD)"
Hugh Williamson,North Carolina,True,0,499,627,False,moderate,mentions-only,2,False,biographicalmemo00hosa,"Williamson essays/letters; Hosack, A Biographical Memoir of Hugh Williamson (PD)"
James McHenry,Maryland,True,0,405,692,False,moderate,mentions-only,2,False,lifecorrespond00stei,"McHenry's Convention notes; Steiner, The Life and Correspondence of James McHenry (PD)"
John Lansing Jr.,New York,False,0,211,255,False,moderate,mentions-only,2,False,secretproceeding00conv,Lansing's Notes of the Federal Convention (ed. Strayer); Yates/Lansing secret proceedings (PD)
Luther Martin,Maryland,False,0,592,881,True,moderate,mentions-only,2,False,genuineinformati00mart,"The Genuine Information (full anti-ratification address, PD); Elliot's Debates appendix"
Oliver Ellsworth,Connecticut,False,0,334,470,False,moderate,mentions-only,2,False,lifeofoliverells00brow,Letters of a Landholder (Ellsworth); Brown Life of Oliver Ellsworth (PD)
Roger Sherman,Connecticut,True,0,634,930,False,moderate,mentions-only,2,False,lifeofrogersherm00bout,Letters of a Countryman / Sherman essays; Boutell Life of Roger Sherman (PD)
William Samuel Johnson,Connecticut,True,0,639,908,True,moderate,mentions-only,2,False,lifetimesofwilli00bear,Letters of Delegates to Congress; Beardsley life-and-times (PD)
Charles Cotesworth Pinckney,South Carolina,True,0,79,92,False,moderate,mentions-only,3,False,,"Zahniser / older Life of C. C. Pinckney; SC ratification speeches (Elliot, have)"
Charles Pinckney,South Carolina,True,0,255,288,False,moderate,mentions-only,3,False,,"Pinckney Plan materials; SC ratification speeches (Elliot, have)"
John Langdon,New Hampshire,True,0,357,474,False,moderate,mentions-only,3,False,,Letters of Delegates to Congress; scattered NH state-archive letters
Pierce Butler,South Carolina,True,0,381,512,False,moderate,mentions-only,3,False,,The Letters of Pierce Butler (basis); Letters of Delegates
William Blount,North Carolina,True,0,163,296,False,moderate,mentions-only,3,False,,The Blount Journal / territorial papers (PD); Letters of Delegates
William Paterson,New Jersey,True,0,325,472,False,moderate,mentions-only,3,False,,"Paterson's Convention notes (Farrand vol. supplements, PD); judicial papers"
William Pierce,Georgia,False,0,196,264,True,moderate,mentions-only,3,False,,Pierce's Character Sketches of the delegates + his Convention notes (PD)
William Richardson Davie,North Carolina,False,0,161,183,False,moderate,mentions-only,3,False,,"NC ratification speeches (Elliot, have); Davie sketches/letters (PD)"
Abraham Baldwin,Georgia,True,0,209,281,False,minimal,minimal-surviving,4,False,,Scattered letters; sparse
Alexander Martin,North Carolina,False,0,64,73,True,minimal,minimal-surviving,4,False,,NC state-archive letters; sparse
Caleb Strong,Massachusetts,False,0,2034,2266,True,minimal,minimal-surviving,4,False,,Patriotism and Piety / select addresses (PD); few personal papers
Daniel Carroll,Maryland,True,0,425,696,False,minimal,minimal-surviving,4,False,,Letters of Delegates; scattered MD letters
Daniel of St. Thomas Jenifer,Maryland,True,0,137,204,False,minimal,minimal-surviving,4,False,,Scattered letters; sparse
David Brearley,New Jersey,True,0,134,160,False,minimal,minimal-surviving,4,False,,Few papers survive; Convention vote-records and scattered letters
George Clymer,Pennsylvania,True,0,161,212,False,minimal,minimal-surviving,4,False,,Scattered letters; sparse
George Wythe,Virginia,False,0,283,355,False,minimal,minimal-surviving,4,False,,Few personal papers; some chancery reports/legal opinions (PD)
Gunning Bedford Jr.,Delaware,True,0,184,232,False,minimal,minimal-surviving,4,False,,Scattered letters; sparse
Jacob Broom,Delaware,True,0,62,68,True,minimal,minimal-surviving,4,False,,Almost no surviving personal papers; a few business letters
James McClurg,Virginia,False,0,42,47,False,minimal,minimal-surviving,4,False,,Almost no surviving papers; a few Madison-McClurg letters
Jared Ingersoll,Pennsylvania,True,0,100,111,False,minimal,minimal-surviving,4,False,,Legal papers; very sparse personal corpus
John Blair,Virginia,True,0,150,177,False,minimal,minimal-surviving,4,False,,Almost no surviving personal papers; some judicial opinions
John Francis Mercer,Maryland,False,0,444,614,False,minimal,minimal-surviving,4,False,,Scattered letters; sparse
John Rutledge,South Carolina,True,0,589,786,False,minimal,minimal-surviving,4,False,,"Committee of Detail materials (Farrand, have); few personal papers survive (fire loss)"
Jonathan Dayton,New Jersey,True,0,207,294,False,minimal,minimal-surviving,4,False,,Scattered correspondence; Letters of Delegates
Nathaniel Gorham,Massachusetts,True,0,344,430,False,minimal,minimal-surviving,4,False,,Letters of Delegates to Congress; sparse
Nicholas Gilman,New Hampshire,True,0,159,251,False,minimal,minimal-surviving,4,False,,Letters of Delegates to Congress only; few personal papers survive
Richard Bassett,Delaware,True,0,100,134,False,minimal,minimal-surviving,4,False,,Almost no surviving personal papers
Richard Dobbs Spaight,North Carolina,True,0,196,247,False,minimal,minimal-surviving,4,False,,NC state-archive letters; sparse
Thomas Fitzsimons,Pennsylvania,True,0,84,101,False,minimal,minimal-surviving,4,False,,Scattered commercial/political letters; very sparse
Thomas Mifflin,Pennsylvania,True,0,447,574,False,minimal,minimal-surviving,4,False,,Gubernatorial/military papers; sparse personal corpus
William Churchill Houston,New Jersey,False,0,210,302,False,minimal,minimal-surviving,4,False,,Letters of Delegates to Congress; very sparse
William Few,Georgia,True,0,4608,5378,True,minimal,minimal-surviving,4,False,,"Autobiography of William Few (PD, Magazine of American History); otherwise sparse"
William Houstoun,Georgia,False,0,86,109,False,minimal,minimal-surviving,4,False,,Almost no surviving personal papers
