name,state,survival,downloaded_or_cached_sources,failed_sources,combined_word_count,bundle_manifest,combined_text,internet_archive_targets,has_loc_collection,pd_source
Benjamin Franklin,Pennsylvania,rich,8,2,1139473,data/delegates/all_delegate_information/benjamin_franklin/manifest.json,data/delegates/all_delegate_information/benjamin_franklin/combined.txt,10,True,"Founders Online (complete) + Works of Benjamin Franklin (Sparks, 10 vols, PD)"
Thomas Mifflin,Pennsylvania,minimal,0,0,20,data/delegates/all_delegate_information/thomas_mifflin/manifest.json,data/delegates/all_delegate_information/thomas_mifflin/combined.txt,0,True,Gubernatorial/military papers; sparse personal corpus
Robert Morris,Pennsylvania,rich,1,1,101832,data/delegates/all_delegate_information/robert_morris/manifest.json,data/delegates/all_delegate_information/robert_morris/combined.txt,2,True,"Letters of Delegates; Sumner, The Financier and the Finances of the American Revolution (PD)"
George Clymer,Pennsylvania,minimal,0,0,18,data/delegates/all_delegate_information/george_clymer/manifest.json,data/delegates/all_delegate_information/george_clymer/combined.txt,0,True,Scattered letters; sparse
Thomas Fitzsimons,Pennsylvania,minimal,0,0,20,data/delegates/all_delegate_information/thomas_fitzsimons/manifest.json,data/delegates/all_delegate_information/thomas_fitzsimons/combined.txt,0,True,Scattered commercial/political letters; very sparse
Jared Ingersoll,Pennsylvania,minimal,0,0,21,data/delegates/all_delegate_information/jared_ingersoll/manifest.json,data/delegates/all_delegate_information/jared_ingersoll/combined.txt,0,True,Legal papers; very sparse personal corpus
James Wilson,Pennsylvania,rich,3,0,388019,data/delegates/all_delegate_information/james_wilson/manifest.json,data/delegates/all_delegate_information/james_wilson/combined.txt,3,True,"The Works of the Honourable James Wilson (ed. Bird Wilson, 3 vols, PD)"
Gouverneur Morris,Pennsylvania,rich,2,0,432618,data/delegates/all_delegate_information/gouverneur_morris/manifest.json,data/delegates/all_delegate_information/gouverneur_morris/combined.txt,2,True,"The Diary and Letters of Gouverneur Morris (ed. A. C. Morris, 2 vols, PD)"
George Read,Delaware,moderate,1,0,248409,data/delegates/all_delegate_information/george_read/manifest.json,data/delegates/all_delegate_information/george_read/combined.txt,1,True,"Life and Correspondence of George Read (W. T. Read, PD)"
Gunning Bedford Jr.,Delaware,minimal,0,0,19,data/delegates/all_delegate_information/gunning_bedford_jr/manifest.json,data/delegates/all_delegate_information/gunning_bedford_jr/combined.txt,0,True,Scattered letters; sparse
John Dickinson,Delaware,rich,1,0,147073,data/delegates/all_delegate_information/john_dickinson/manifest.json,data/delegates/all_delegate_information/john_dickinson/combined.txt,1,True,"The Writings of John Dickinson (ed. Ford, Vol 1, PD); Letters of Fabius"
Richard Bassett,Delaware,minimal,0,0,20,data/delegates/all_delegate_information/richard_bassett/manifest.json,data/delegates/all_delegate_information/richard_bassett/combined.txt,0,True,Almost no surviving personal papers
Jacob Broom,Delaware,minimal,0,0,24,data/delegates/all_delegate_information/jacob_broom/manifest.json,data/delegates/all_delegate_information/jacob_broom/combined.txt,0,True,Almost no surviving personal papers; a few business letters
James McHenry,Maryland,moderate,0,1,27,data/delegates/all_delegate_information/james_mchenry/manifest.json,data/delegates/all_delegate_information/james_mchenry/combined.txt,1,True,"McHenry's Convention notes; Steiner, The Life and Correspondence of James McHenry (PD)"
Daniel of St. Thomas Jenifer,Maryland,minimal,0,0,21,data/delegates/all_delegate_information/daniel_of_st_thomas_jenifer/manifest.json,data/delegates/all_delegate_information/daniel_of_st_thomas_jenifer/combined.txt,0,True,Scattered letters; sparse
Daniel Carroll,Maryland,minimal,0,0,21,data/delegates/all_delegate_information/daniel_carroll/manifest.json,data/delegates/all_delegate_information/daniel_carroll/combined.txt,0,True,Letters of Delegates; scattered MD letters
Luther Martin,Maryland,moderate,0,1,25,data/delegates/all_delegate_information/luther_martin/manifest.json,data/delegates/all_delegate_information/luther_martin/combined.txt,1,True,"The Genuine Information (full anti-ratification address, PD); Elliot's Debates appendix"
John Francis Mercer,Maryland,minimal,0,0,19,data/delegates/all_delegate_information/john_francis_mercer/manifest.json,data/delegates/all_delegate_information/john_francis_mercer/combined.txt,0,True,Scattered letters; sparse
George Washington,Virginia,rich,0,0,27,data/delegates/all_delegate_information/george_washington/manifest.json,data/delegates/all_delegate_information/george_washington/combined.txt,0,True,"Founders Online (complete) + Writings of George Washington (Ford, 13 vols, ingested)"
James Madison,Virginia,rich,0,0,26,data/delegates/all_delegate_information/james_madison/manifest.json,data/delegates/all_delegate_information/james_madison/combined.txt,0,True,"Founders Online (complete) + Letters and Other Writings (4 vols, ingested)"
John Blair,Virginia,minimal,0,0,23,data/delegates/all_delegate_information/john_blair/manifest.json,data/delegates/all_delegate_information/john_blair/combined.txt,0,True,Almost no surviving personal papers; some judicial opinions
Edmund Randolph,Virginia,moderate,1,0,151036,data/delegates/all_delegate_information/edmund_randolph/manifest.json,data/delegates/all_delegate_information/edmund_randolph/combined.txt,1,True,"Letter on the Federal Constitution (PD); Moncure Conway, Omitted Chapters of History (PD)"
George Mason,Virginia,rich,1,1,219205,data/delegates/all_delegate_information/george_mason/manifest.json,data/delegates/all_delegate_information/george_mason/combined.txt,2,True,"K. M. Rowland, The Life of George Mason, with his papers (2 vols, PD); Objections (have)"
George Wythe,Virginia,minimal,0,0,23,data/delegates/all_delegate_information/george_wythe/manifest.json,data/delegates/all_delegate_information/george_wythe/combined.txt,0,True,Few personal papers; some chancery reports/legal opinions (PD)
James McClurg,Virginia,minimal,0,0,23,data/delegates/all_delegate_information/james_mcclurg/manifest.json,data/delegates/all_delegate_information/james_mcclurg/combined.txt,0,True,Almost no surviving papers; a few Madison-McClurg letters
William Blount,North Carolina,moderate,0,0,26,data/delegates/all_delegate_information/william_blount/manifest.json,data/delegates/all_delegate_information/william_blount/combined.txt,0,True,The Blount Journal / territorial papers (PD); Letters of Delegates
Richard Dobbs Spaight,North Carolina,minimal,0,0,21,data/delegates/all_delegate_information/richard_dobbs_spaight/manifest.json,data/delegates/all_delegate_information/richard_dobbs_spaight/combined.txt,0,True,NC state-archive letters; sparse
Hugh Williamson,North Carolina,moderate,1,0,19943,data/delegates/all_delegate_information/hugh_williamson/manifest.json,data/delegates/all_delegate_information/hugh_williamson/combined.txt,1,True,"Williamson essays/letters; Hosack, A Biographical Memoir of Hugh Williamson (PD)"
Alexander Martin,North Carolina,minimal,0,0,20,data/delegates/all_delegate_information/alexander_martin/manifest.json,data/delegates/all_delegate_information/alexander_martin/combined.txt,0,True,NC state-archive letters; sparse
William Richardson Davie,North Carolina,moderate,0,0,25,data/delegates/all_delegate_information/william_richardson_davie/manifest.json,data/delegates/all_delegate_information/william_richardson_davie/combined.txt,0,True,"NC ratification speeches (Elliot, have); Davie sketches/letters (PD)"
John Rutledge,South Carolina,minimal,0,0,28,data/delegates/all_delegate_information/john_rutledge/manifest.json,data/delegates/all_delegate_information/john_rutledge/combined.txt,0,True,"Committee of Detail materials (Farrand, have); few personal papers survive (fire loss)"
Charles Cotesworth Pinckney,South Carolina,moderate,0,0,30,data/delegates/all_delegate_information/charles_cotesworth_pinckney/manifest.json,data/delegates/all_delegate_information/charles_cotesworth_pinckney/combined.txt,0,True,"Zahniser / older Life of C. C. Pinckney; SC ratification speeches (Elliot, have)"
Charles Pinckney,South Carolina,moderate,0,0,24,data/delegates/all_delegate_information/charles_pinckney/manifest.json,data/delegates/all_delegate_information/charles_pinckney/combined.txt,0,True,"Pinckney Plan materials; SC ratification speeches (Elliot, have)"
Pierce Butler,South Carolina,moderate,0,0,25,data/delegates/all_delegate_information/pierce_butler/manifest.json,data/delegates/all_delegate_information/pierce_butler/combined.txt,0,True,The Letters of Pierce Butler (basis); Letters of Delegates
William Few,Georgia,minimal,0,0,26,data/delegates/all_delegate_information/william_few/manifest.json,data/delegates/all_delegate_information/william_few/combined.txt,0,True,"Autobiography of William Few (PD, Magazine of American History); otherwise sparse"
Abraham Baldwin,Georgia,minimal,0,0,18,data/delegates/all_delegate_information/abraham_baldwin/manifest.json,data/delegates/all_delegate_information/abraham_baldwin/combined.txt,0,True,Scattered letters; sparse
William Houstoun,Georgia,minimal,0,0,20,data/delegates/all_delegate_information/william_houstoun/manifest.json,data/delegates/all_delegate_information/william_houstoun/combined.txt,0,True,Almost no surviving personal papers
William Pierce,Georgia,moderate,0,0,26,data/delegates/all_delegate_information/william_pierce/manifest.json,data/delegates/all_delegate_information/william_pierce/combined.txt,0,True,Pierce's Character Sketches of the delegates + his Convention notes (PD)
